age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
25,,"Sep 30, 1999",305,35,12,22762,Netherlands,Monaco,"1,83 m","€9.00m Jun 3, 2025",Jordan Teze,4,0,Right-Back,https://www.transfermarkt.com/jordan-teze/profil/spieler/364245,25,1,2,901'
21,,"Oct 8, 2003",78,1,2,4765,France,Monaco,"1,90 m","€12.00m Jun 3, 2025",Soungoutou Magassa,6,0,Defensive Midfield,https://www.transfermarkt.com/soungoutou-magassa/profil/spieler/745181,31,1,1,"1,400'"
20,,"Aug 28, 2004",27,,7,1026,France,Monaco,"1,85 m","€600k Jun 3, 2025",Edan Diop,0,0,Central Midfield,https://www.transfermarkt.com/edan-diop/profil/spieler/745178,-,-,-,0'
23,,"Feb 25, 2002",116,20,19,7000,France,Monaco,"1,83 m","€45.00m Jun 3, 2025",Maghnes Akliouche,4,1,Right Winger,https://www.transfermarkt.com/maghnes-akliouche/profil/spieler/745200,43,12,7,"3,301'"
23,,"Jul 3, 2001",221,33,114,14791,States,Monaco,"1,78 m","€18.00m Jun 3, 2025",Folarin Balogun,17,5,Centre-Forward,https://www.transfermarkt.com/folarin-balogun/profil/spieler/503770,16,1,4,706'
30,,"Jan 16, 1995",448,69,116,26966,Japan,Monaco,"1,72 m","€15.00m Jun 3, 2025",Takumi Minamino,67,24,Left Winger,https://www.transfermarkt.com/takumi-minamino/profil/spieler/165793,43,5,9,"3,063'"
22,ROOF,"Feb 8, 2003",161,37,81,11323,Denmark,Monaco,"1,87 m","€30.00m Jun 3, 2025",Mika Biereth,4,1,Centre-Forward,https://www.transfermarkt.com/mika-biereth/profil/spieler/565821,44,8,27,"3,337'"
23,,"Nov 6, 2001",209,9,,18900,France,LOSC Lille,"1,89 m","€30.00m Jun 3, 2025",Lucas Chevalier,0,0,Goalkeeper,https://www.transfermarkt.com/lucas-chevalier/profil/spieler/463600,48,,,"4,350'"
18,,"Aug 16, 2006",115,3,39,4401,Nigeria,Monaco,"1,85 m","€15.00m Jun 3, 2025",George Ilenikhena,,,Centre-Forward,https://www.transfermarkt.com/george-ilenikhena/profil/spieler/1004834,31,2,6,916'
24,Classico,"Jan 6, 2001",206,3,24,16948,France,LOSC Lille,"1,84 m","€28.00m Jun 3, 2025",Bafodé Diakité,,,Centre-Back,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605,48,1,4,"4,282'"
28,,"Feb 14, 1997",377,63,97,22757,Switzerland,Monaco,"1,87 m","€12.00m Jun 3, 2025",Breel Embolo,77,18,Centre-Forward,https://www.transfermarkt.com/breel-embolo/profil/spieler/237662,42,9,7,"2,765'"
33,Wasserman,"Oct 22, 1991",453,16,25,37924,Algeria,LOSC Lille,"1,86 m","€1.20m Jun 3, 2025",Aïssa Mandi,102,6,Centre-Back,https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293,31,-,-,"2,173'"
31,AC Talent,"Nov 14, 1993",341,4,7,28473,France,LOSC Lille,"1,82 m","€1.50m Jun 3, 2025",Samuel Umtiti,31,4,Centre-Back,https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540,-,-,-,0'
37,,"Mar 2, 1988",298,8,,26602,Italy,LOSC Lille,"1,88 m","€150k Jun 3, 2025",Vito Mannone,,,Goalkeeper,https://www.transfermarkt.com/vito-mannone/profil/spieler/33781,4,,,360'
35,,"Jan 11, 1990",428,53,26,35183,Brazil,LOSC Lille,"1,77 m","€1.20m Jun 3, 2025",Ismaily,0,0,Left-Back,https://www.transfermarkt.com/ismaily/profil/spieler/124028,24,2,1,"1,295'"
25,Team Raiola,"Jun 20, 2000",273,22,14,17998,Netherlands,LOSC Lille,"1,89 m","€7.00m Jun 3, 2025",Mitchel Bakker,21,0,Left-Back,https://www.transfermarkt.com/mitchel-bakker/profil/spieler/361065,37,3,4,"1,855'"
33,Unique Sports Group,"Sep 12, 1991",483,60,40,35593,Belgium,LOSC Lille,"1,91 m","€2.00m Jun 3, 2025",Thomas Meunier,71,8,Right-Back,https://www.transfermarkt.com/thomas-meunier/profil/spieler/100986,46,1,2,"3,171'"
30,,"Nov 24, 1994",312,25,32,22891,Algeria,LOSC Lille,"1,87 m","€6.00m Jun 3, 2025",Nabil Bentaleb,53,5,Defensive Midfield,https://www.transfermarkt.com/nabil-bentaleb/profil/spieler/245537,10,-,1,324'
20,,"Nov 3, 2004",95,1,4,5997,Congo,LOSC Lille,"1,86 m","€15.00m Jun 3, 2025",Ngal'ayel Mukau,2,0,Defensive Midfield,https://www.transfermarkt.com/ngalayel-mukau/profil/spieler/1016015,37,1,2,"2,100'"
34,,"Aug 3, 1990",638,38,32,51181,France,LOSC Lille,"1,80 m","€5.00m Jun 3, 2025",Benjamin André,7,0,Defensive Midfield,https://www.transfermarkt.com/benjamin-andre/profil/spieler/84301,45,4,-,"4,073'"
17,,"Oct 2, 2007",70,3,,3629,France,LOSC Lille,"1,86 m","€28.00m Jun 3, 2025",Ayyoub Bouaddi,4,0,Central Midfield,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/1097139,36,2,-,"1,863'"
18,,"Dec 29, 2006",79,9,14,4971,France,LOSC Lille,"1,80 m","€5.00m Jun 3, 2025",Ethan Mbappé,0,0,Central Midfield,https://www.transfermarkt.com/ethan-mbappe/profil/spieler/903666,14,-,-,327'
22,CAA Stellar,"Apr 10, 2003",171,26,32,11064,Iceland,LOSC Lille,"1,78 m","€18.00m Jun 3, 2025",Hákon Arnar Haraldsson,22,3,Attacking Midfield,https://www.transfermarkt.com/hakon-arnar-haraldsson/profil/spieler/652275,38,4,8,"2,610'"
24,ROOF,"Aug 31, 2000",242,40,45,17099,England,LOSC Lille,"1,66 m","€20.00m Jun 3, 2025",Angel Gomes,4,0,Attacking Midfield,https://www.transfermarkt.com/angel-gomes/profil/spieler/392770,20,1,2,"1,069'"
31,Wasserman,"Jul 30, 1993",381,29,32,23719,Portugal,LOSC Lille,"1,90 m","€6.00m Jun 3, 2025",André Gomes,29,0,Central Midfield,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,24,-,1,"1,323'"
26,,"Mar 31, 1999",210,38,42,11748,Kosovo,LOSC Lille,"1,80 m","€25.00m Jun 3, 2025",Edon Zhegrova,34,4,Right Winger,https://www.transfermarkt.com/edon-zhegrova/profil/spieler/496857,21,2,8,"1,591'"
35,,"Mar 8, 1990",493,74,92,33511,France,LOSC Lille,"1,72 m","€2.50m Jun 3, 2025",Rémy Cabella,4,0,Attacking Midfield,https://www.transfermarkt.com/remy-cabella/profil/spieler/113707,37,4,2,"1,969'"
24,,"Jun 11, 2001",199,33,27,13504,Morocco,LOSC Lille,"1,70 m","€12.00m Jun 3, 2025",Osame Sahraoui,2,0,Left Winger,https://www.transfermarkt.com/osame-sahraoui/profil/spieler/580657,46,6,5,"1,919'"
25,Axia Sports ...,"Jan 14, 2000",315,45,146,23225,Canada,LOSC Lille,"1,78 m","€45.00m Jun 3, 2025",Jonathan David,64,34,Centre-Forward,https://www.transfermarkt.com/jonathan-david/profil/spieler/533738,49,12,25,"3,938'"
