age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
29,Sports360 GmbH,"Sep 8, 1995",498,16,17,40177,Germany,Bor. M'gladbach,"1,86 m","€6.00m Jun 5, 2025",Julian Weigl,6,0,Defensive Midfield,https://www.transfermarkt.com/julian-weigl/profil/spieler/196792,,,,
22,Sports360 GmbH,"Dec 31, 2002",154,6,4,11151,States,Bor. M'gladbach,"1,84 m","€10.00m Jun 5, 2025",Joe Scally,21,0,Right-Back,https://www.transfermarkt.com/joe-scally/profil/spieler/504153,34,-,-,"2,763'"
18,Sports360 GmbH,"Jan 5, 2007",61,11,13,5249,Germany,Bor. M'gladbach,"1,88 m",,Niklas Swider,4,0,Defensive Midfield,https://www.transfermarkt.com/niklas-swider/profil/spieler/1009463,21,-,8,"1,853'"
23,Sports360 GmbH,"May 29, 2002",148,15,14,8900,Germany,Bor. M'gladbach,"1,76 m","€15.00m Jun 5, 2025",Rocco Reitz,14,2,Central Midfield,https://www.transfermarkt.com/rocco-reitz/profil/spieler/467434,28,2,2,"1,913'"
27,Tenet Football,"Feb 21, 1998",252,33,23,17083,Germany,Bor. M'gladbach,"1,86 m","€4.00m Jun 5, 2025",Philipp Sander,,,Central Midfield,https://www.transfermarkt.com/philipp-sander/profil/spieler/388409,29,-,1,"1,497'"
28,CN Sports,"Mar 16, 1997",324,40,47,20991,Germany,Bor. M'gladbach,"1,85 m","€3.50m Jun 5, 2025",Florian Neuhaus,,,Central Midfield,https://www.transfermarkt.com/florian-neuhaus/profil/spieler/278332,19,1,-,437'
19,,"Jan 21, 2006",87,10,10,5720,Germany,Bor. M'gladbach,"1,80 m","€300k Dec 16, 2024",Charles Herrmann,9,0,Right Winger,https://www.transfermarkt.com/charles-herrmann/profil/spieler/884822,32,6,2,"2,253'"
21,Wasserman,"May 24, 2004",64,12,8,3609,Luxembourg,Bor. M'gladbach,"1,80 m","€500k Jun 5, 2025",Yvandro Borges Sanches,26,3,Left Winger,https://www.transfermarkt.com/yvandro-borges-sanches/profil/spieler/586659,4,-,-,181'
28,,"Aug 11, 1996",327,65,51,22567,France,Bor. M'gladbach,"1,80 m","€12.00m Jun 5, 2025",Franck Honorat,3,0,Right Winger,https://www.transfermarkt.com/franck-honorat/profil/spieler/229006,21,9,5,"1,619'"
31,Teamgeist ...,"Aug 27, 1993",405,78,48,27808,Austria,Bor. M'gladbach,"1,75 m","€3.50m Jun 5, 2025",Kevin Stöger,,,Attacking Midfield,https://www.transfermarkt.com/kevin-stoger/profil/spieler/106872,33,4,3,"1,720'"
26,CN Sports,"Aug 27, 1998",298,56,89,20729,Germany,Bor. M'gladbach,"1,78 m","€12.00m Jun 5, 2025",Robin Hack,5,3,Left Winger,https://www.transfermarkt.com/robin-hack/profil/spieler/284010,34,8,4,"2,209'"
25,,"Mar 14, 2000",171,9,28,9334,Cameroon,Bor. M'gladbach,"1,85 m","€4.00m Jun 5, 2025",Nathan Ngoumou,2,0,Right Winger,https://www.transfermarkt.com/nathan-ngoumou/profil/spieler/629588,21,1,2,851'
29,Robert Schneider,"Aug 31, 1995",,,,,Germany,Bor. M'gladbach,"1,94 m","€17.00m Jun 5, 2025",Tim Kleindienst,6,4,Centre-Forward,https://www.transfermarkt.com/tim-kleindienst/profil/spieler/193033,33,10,16,"2,925'"
32,,"Mar 10, 1993",399,77,116,27862,France,Bor. M'gladbach,"1,81 m","€5.00m Jun 5, 2025",Alassane Pléa,1,0,Centre-Forward,https://www.transfermarkt.com/alassane-plea/profil/spieler/167329,32,7,12,"2,000'"
24,Unique Sports Group,"Nov 28, 2000",82,10,,7349,Germany,TSG Hoffenheim,"1,92 m","€750k Jun 5, 2025",Luca Philipp,,,Goalkeeper,https://www.transfermarkt.com/luca-philipp/profil/spieler/432671,,,,
31,,"Sep 12, 1993",113,3,,10100,Denmark,TSG Hoffenheim,"1,89 m","€250k Jun 5, 2025",Jakob Busk,17,0,Goalkeeper,https://www.transfermarkt.com/jakob-busk/profil/spieler/203411,16,,,"1,401'"
35,CN Sports,"Jun 2, 1990",622,12,,56209,Germany,TSG Hoffenheim,"1,87 m","€3.00m Jun 5, 2025",Oliver Baumann,4,0,Goalkeeper,https://www.transfermarkt.com/oliver-baumann/profil/spieler/55089,37,,,"3,330'"
21,,"Apr 8, 2004",55,9,19,3354,Japan,Bor. M'gladbach,"1,78 m","€500k Jun 5, 2025",Shio Fukuda,1,1,Centre-Forward,https://www.transfermarkt.com/shio-fukuda/profil/spieler/1073997,21,2,5,"1,206'"
24,Nehoda Sport,"Aug 13, 2000",214,13,69,11265,Republic,Bor. M'gladbach,"1,90 m","€3.00m Jun 5, 2025",Tomas Cvancara,8,1,Centre-Forward,https://www.transfermarkt.com/tomas-cvancara/profil/spieler/544148,30,-,2,834'
25,,"Jan 29, 2000",178,6,9,14389,Republic,TSG Hoffenheim,"1,90 m","€3.50m Jun 5, 2025",Robin Hranac,7,0,Centre-Back,https://www.transfermarkt.com/robin-hranac/profil/spieler/620217,13,1,-,"1,009'"
30,Unique Sports Group,"Apr 19, 1995",387,7,19,29709,Nigeria,TSG Hoffenheim,"1,92 m","€2.50m Jun 5, 2025",Kevin Akpoguma,8,0,Centre-Back,https://www.transfermarkt.com/kevin-akpoguma/profil/spieler/160241,42,-,-,"3,066'"
25,Solbakken / Player ...,"Nov 28, 1999",203,2,14,15672,Norway,TSG Hoffenheim,"1,83 m","€10.00m Jun 5, 2025",Leo Østigård,31,1,Centre-Back,https://www.transfermarkt.com/leo-ostigard/profil/spieler/367284,29,-,1,"2,336'"
25,F-F SPORT,"Mar 25, 2000",166,6,14,13334,Türkiye,TSG Hoffenheim,"1,87 m","€5.00m Jun 5, 2025",Ozan Kabak,26,2,Centre-Back,https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260,,,,
21,,"Feb 9, 2004",57,1,,5130,Iceland,TSG Hoffenheim,"1,95 m","€250k Jun 5, 2025",Lúkas Petersson,10,0,Goalkeeper,https://www.transfermarkt.com/lukas-petersson/profil/spieler/718460,27,,,"2,430'"
24,,"Jan 29, 2001",123,,7,10399,Brazil,TSG Hoffenheim,"1,88 m","€5.00m Jun 5, 2025",Arthur Chaves,6,0,Centre-Back,https://www.transfermarkt.com/arthur-chaves/profil/spieler/875332,38,-,2,"3,060'"
25,,"Jun 21, 2000",195,13,4,15158,France,TSG Hoffenheim,"1,79 m","€7.00m Jun 5, 2025",Valentin Gendrey,3,0,Right-Back,https://www.transfermarkt.com/valentin-gendrey/profil/spieler/569387,31,3,2,"2,168'"
24,,"Aug 7, 2000",188,22,23,12415,Republic,TSG Hoffenheim,"1,83 m","€5.00m Jun 5, 2025",David Jurásek,12,1,Left-Back,https://www.transfermarkt.com/david-jurasek/profil/spieler/500054,22,3,-,"1,122'"
24,YOU FIRST,"May 26, 2001",275,47,40,19752,Austria,TSG Hoffenheim,"1,80 m","€5.00m Jun 5, 2025",Alexander Prass,13,0,Left-Back,https://www.transfermarkt.com/alexander-prass/profil/spieler/434116,31,2,-,"2,024'"
26,ROOF,"Nov 15, 1998",273,33,26,19435,Germany,TSG Hoffenheim,"1,94 m","€14.00m Jun 5, 2025",Anton Stach,2,0,Defensive Midfield,https://www.transfermarkt.com/anton-stach/profil/spieler/344069,,,,
33,SPORT INVEST,"Apr 25, 1992",449,57,34,34923,Republic,TSG Hoffenheim,"1,82 m","€1.70m Jun 5, 2025",Pavel Kaderabek,48,3,Right-Back,https://www.transfermarkt.com/pavel-kaderabek/profil/spieler/143798,,,,
29,Global Talent,"Jan 11, 1996",290,14,6,21018,Mali,TSG Hoffenheim,"1,77 m","€1.00m Jun 5, 2025",Diadié Samassékou,42,1,Defensive Midfield,https://www.transfermarkt.com/diadie-samassekou/profil/spieler/315604,10,-,-,462'
30,ROOF,"Sep 22, 1994",321,24,15,23745,Germany,TSG Hoffenheim,"1,80 m","€500k Jun 5, 2025",Christopher Lenz,10,0,Left-Back,https://www.transfermarkt.com/christopher-lenz/profil/spieler/159844,2,2,-,61'
20,ROGON,"Aug 11, 2004",129,28,34,8286,Germany,TSG Hoffenheim,"1,75 m","€6.00m Jun 5, 2025",Umut Tohumcu,2,0,Central Midfield,https://www.transfermarkt.com/umut-tohumcu/profil/spieler/569031,22,2,2,929'
27,,"Jun 10, 1998",233,46,26,15992,Germany,TSG Hoffenheim,"1,73 m","€2.00m Jun 5, 2025",Dennis Geiger,5,0,Central Midfield,https://www.transfermarkt.com/dennis-geiger/profil/spieler/251309,25,1,-,933'
25,Sports360 GmbH,"Jun 8, 2000",234,15,11,14503,Germany,TSG Hoffenheim,"1,77 m","€2.00m Jun 5, 2025",Finn Becker,4,0,Central Midfield,https://www.transfermarkt.com/finn-becker/profil/spieler/334999,16,1,-,891'
30,Unique Sports Group,"Jan 9, 1995",301,24,34,23230,Germany,TSG Hoffenheim,"1,84 m","€3.00m Jun 5, 2025",Grischa Prömel,0,0,Central Midfield,https://www.transfermarkt.com/grischa-promel/profil/spieler/234029,3,-,-,237'
22,Int. Sport ...,"Jul 25, 2002",260,50,73,16942,Republic,TSG Hoffenheim,"1,88 m","€18.00m Jun 5, 2025",Adam Hlozek,41,4,Second Striker,https://www.transfermarkt.com/adam-hlozek/profil/spieler/552057,37,3,11,"2,537'"
19,Unique Sports Group,"Mar 2, 2006",38,6,9,2337,d'Ivoire,TSG Hoffenheim,,"€9.00m Jun 5, 2025",Bazoumana Touré,,,Left Winger,https://www.transfermarkt.com/bazoumana-toure/profil/spieler/1067904,,,,
34,,"Jun 19, 1991",509,87,233,36942,Croatia,TSG Hoffenheim,"1,77 m","€4.00m Jun 5, 2025",Andrej Kramaric,106,34,Attacking Midfield,https://www.transfermarkt.com/andrej-kramaric/profil/spieler/46580,41,10,11,"3,503'"
19,Sports360 GmbH,"Jan 15, 2006",93,21,60,6307,Germany,TSG Hoffenheim,"1,94 m","€7.00m Jun 5, 2025",Max Moerstedt,,,Centre-Forward,https://www.transfermarkt.com/max-moerstedt/profil/spieler/923595,29,4,5,"1,566'"
20,YOU FIRST,"May 17, 2005",,,,,Austria,TSG Hoffenheim,"1,85 m","€500k Jun 5, 2025",Florian Micheler,7,0,Central Midfield,https://www.transfermarkt.com/florian-micheler/profil/spieler/808664,28,4,8,"1,899'"
32,,"Mar 29, 1993",,,,,Germany,TSG Hoffenheim,"1,88 m","€2.50m Jun 5, 2025",Marius Bülter,,,Left Winger,https://www.transfermarkt.com/marius-bulter/profil/spieler/116088,31,4,8,"2,053'"
23,ROGON,"Feb 4, 2002",113,11,25,4881,Türkiye,TSG Hoffenheim,"1,88 m","€2.50m Jun 5, 2025",Erencan Yardımcı,13,6,Centre-Forward,https://www.transfermarkt.com/erencan-yardimci/profil/spieler/618898,24,3,3,787'
22,Aneke/PMG,"Jul 17, 2002",114,9,64,7069,Nigeria,TSG Hoffenheim,"1,78 m","€10.00m Jun 5, 2025",Gift Orban,,,Centre-Forward,https://www.transfermarkt.com/gift-orban/profil/spieler/1018259,18,-,6,948'
31,,"Jun 20, 1994",351,34,167,19609,Bosnia-Herzegovina,TSG Hoffenheim,"1,94 m","€2.50m Jun 5, 2025",Haris Tabakovic,5,0,Centre-Forward,https://www.transfermarkt.com/haris-tabakovic/profil/spieler/203123,32,2,4,"1,313'"
31,,"Apr 23, 1994",320,52,74,22525,Togo,TSG Hoffenheim,"1,85 m","€1.00m Jun 5, 2025",Ihlas Bebou,38,1,Centre-Forward,https://www.transfermarkt.com/ihlas-bebou/profil/spieler/237164,1,-,-,8'
29,,"Jul 12, 1995",249,15,,22041,Germany,Werder Bremen,"1,87 m","€4.50m Jun 5, 2025",Michael Zetterer,,,Goalkeeper,https://www.transfermarkt.com/michael-zetterer/profil/spieler/196813,38,,,"3,420'"
27,YOU FIRST,"Mar 16, 1998",288,16,20,24283,Austria,Werder Bremen,"1,87 m","€12.00m Jun 5, 2025",Marco Friedl,,,Centre-Back,https://www.transfermarkt.com/marco-friedl/profil/spieler/156990,29,-,-,"2,434'"
30,Sports360 GmbH,"Apr 14, 1995",389,9,25,30453,Germany,Werder Bremen,"1,90 m","€4.00m Jun 5, 2025",Niklas Stark,2,0,Centre-Back,https://www.transfermarkt.com/niklas-stark/profil/spieler/162434,29,1,-,"2,352'"
21,feel soccer GmbH,"Apr 16, 2004",86,4,,7681,Germany,Werder Bremen,"1,94 m","€2.00m Jun 5, 2025",Mio Backhaus,9,0,Goalkeeper,https://www.transfermarkt.com/mio-backhaus/profil/spieler/620295,-,,,0'
27,Sports360 GmbH,"Jan 17, 1998",287,16,10,22883,Germany,Werder Bremen,"1,92 m","€3.50m Jun 5, 2025",Amos Pieper,,,Centre-Back,https://www.transfermarkt.com/amos-pieper/profil/spieler/334221,,,,
29,LIAN Sports Group,"Sep 26, 1995",314,14,9,25226,Serbia,Werder Bremen,"1,88 m","€3.00m Jun 5, 2025",Milos Veljkovic,35,1,Centre-Back,https://www.transfermarkt.com/milos-veljkovic/profil/spieler/202228,17,1,-,"1,134'"
33,CAA Stellar,"Nov 3, 1991",511,31,28,40193,Germany,Werder Bremen,"1,86 m","€1.00m Jun 5, 2025",Anthony Jung,2,0,Centre-Back,https://www.transfermarkt.com/anthony-jung/profil/spieler/58995,32,-,1,"2,182'"
34,Teamgeist ...,"Aug 18, 1990",472,24,,42522,Germany,Werder Bremen,"1,87 m","€300k Jun 5, 2025",Markus Kolke,,,Goalkeeper,https://www.transfermarkt.com/markus-kolke/profil/spieler/99451,-,,,0'
25,,"Sep 27, 1999",190,19,10,13084,Nigeria,Werder Bremen,"1,80 m","€8.00m Jun 5, 2025",Felix Agu,1,0,Left-Back,https://www.transfermarkt.com/felix-agu/profil/spieler/393512,25,1,3,"1,852'"
24,SP,"May 31, 2001",107,2,3,6116,Argentina,Werder Bremen,"1,91 m","€2.50m Jun 5, 2025",Julián Malatini,0,0,Centre-Back,https://www.transfermarkt.com/julian-malatini/profil/spieler/830108,12,1,1,630'
26,,"Feb 4, 1999",313,37,18,23761,Germany,Werder Bremen,"1,80 m","€5.00m Jun 5, 2025",Derrick Köhn,1,0,Left-Back,https://www.transfermarkt.com/derrick-kohn/profil/spieler/391780,34,2,2,"1,909'"
31,CN Sports,"Apr 21, 1994",423,92,52,32364,Germany,Werder Bremen,"1,77 m","€5.00m Jun 5, 2025",Mitchell Weiser,12,1,Right-Back,https://www.transfermarkt.com/mitchell-weiser/profil/spieler/119211,36,9,5,"3,230'"
31,feel soccer GmbH,"Dec 19, 1993",453,52,79,28613,Germany,Werder Bremen,"1,71 m","€1.50m Jun 5, 2025",Leonardo Bittencourt,20,3,Central Midfield,https://www.transfermarkt.com/leonardo-bittencourt/profil/spieler/93844,31,2,2,"1,148'"
24,Team Raiola,"May 12, 2001",137,13,1,7901,Faso,Werder Bremen,"1,80 m","€4.00m Jun 5, 2025",Issa Kaboré,,,Right-Back,https://www.transfermarkt.com/issa-kabore/profil/spieler/649452,16,2,-,497'
28,CMA Group,"Nov 8, 1996",,,,,Denmark,Werder Bremen,"1,87 m","€14.00m Jun 5, 2025",Jens Stage,2,0,Central Midfield,https://www.transfermarkt.com/jens-stage/profil/spieler/289835,31,5,10,"2,441'"
26,,"Feb 19, 1999",235,20,9,16383,Belgium,Werder Bremen,"1,85 m","€9.00m Jun 5, 2025",Senne Lynen,5,0,Defensive Midfield,https://www.transfermarkt.com/senne-lynen/profil/spieler/338668,36,1,-,"3,108'"
20,,"Apr 11, 2005",87,24,33,6614,Germany,Werder Bremen,"1,83 m","€600k Jun 5, 2025",Leon Opitz,3,1,Attacking Midfield,https://www.transfermarkt.com/leon-opitz/profil/spieler/825073,26,12,16,"1,809'"
23,,"May 4, 2002",101,5,8,6057,France,Werder Bremen,"2,02 m","€2.50m Jun 5, 2025",Skelly Alvero,,,Defensive Midfield,https://www.transfermarkt.com/skelly-alvero/profil/spieler/855134,12,-,-,231'
24,Tenet Football,"Nov 15, 2000",136,21,45,8090,Germany,Werder Bremen,"1,85 m","€7.00m Jun 5, 2025",Justin Njinmah,,,Right Winger,https://www.transfermarkt.com/justin-njinmah/profil/spieler/596153,30,4,3,"1,099'"
26,Milan ...,"Jul 6, 1998",348,74,133,27418,Austria,Werder Bremen,"1,82 m","€4.00m Jun 5, 2025",Marco Grüll,7,0,Left Winger,https://www.transfermarkt.com/marco-grull/profil/spieler/391766,34,2,6,"1,342'"
17,Is known - player U18,"Jun 25, 2007",51,10,24,4430,Croatia,W. Bremen U19,,,Patrice Covic,3,1,Attacking Midfield,https://www.transfermarkt.com/patrice-covic/profil/spieler/1114155,28,4,14,"2,459'"
22,,"Jul 6, 2002",113,22,32,7092,Germany,Werder Bremen,"1,78 m","€450k Jun 5, 2025",Abdenego Nankishi,1,0,Left Winger,https://www.transfermarkt.com/abdenego-nankishi/profil/spieler/455662,17,6,4,"1,409'"
25,,"Jan 27, 2000",285,54,36,20666,Austria,Werder Bremen,"1,68 m","€17.00m Jun 5, 2025",Romano Schmid,25,2,Attacking Midfield,https://www.transfermarkt.com/romano-schmid/profil/spieler/346853,35,6,5,"3,116'"
29,Roc Nation Sports,"Nov 6, 1995",445,56,150,28066,Portugal,Werder Bremen,"1,86 m","€4.00m Jun 5, 2025",André Silva,53,19,Centre-Forward,https://www.transfermarkt.com/andre-silva/profil/spieler/198008,23,3,2,728'
27,CN Sports,"Mar 27, 1998",182,7,1,16397,Germany,FC Augsburg,"1,86 m","€9.00m Jun 5, 2025",Finn Dahmen,8,0,Goalkeeper,https://www.transfermarkt.com/finn-dahmen/profil/spieler/251299,23,,,"2,100'"
25,GreenField,"Oct 10, 1999",200,6,,18150,Croatia,FC Augsburg,"1,96 m","€2.50m Jun 5, 2025",Nediljko Labrovic,2,0,Goalkeeper,https://www.transfermarkt.com/nediljko-labrovic/profil/spieler/610190,17,,,"1,530'"
24,Sport Business ...,"Mar 13, 2001",130,9,,11523,Germany,FC Augsburg,"1,93 m","€150k Jun 5, 2025",Daniel Klein,2,0,Goalkeeper,https://www.transfermarkt.com/daniel-klein/profil/spieler/392124,3,,,270'
31,,"Mar 7, 1994",459,110,220,34190,Germany,Werder Bremen,"1,88 m","€6.00m Jun 5, 2025",Marvin Ducksch,2,0,Centre-Forward,https://www.transfermarkt.com/marvin-ducksch/profil/spieler/125103,36,11,9,"2,732'"
28,Wasserman,"Apr 7, 1997",283,20,32,12209,Scotland,Werder Bremen,"1,88 m","€3.00m Jun 5, 2025",Oliver Burke,13,1,Centre-Forward,https://www.transfermarkt.com/oliver-burke/profil/spieler/341317,,,,
26,Wasserman,"Jun 24, 1998",311,12,10,25264,Switzerland,FC Augsburg,"1,94 m","€7.00m Jun 5, 2025",Cédric Zesiger,6,0,Centre-Back,https://www.transfermarkt.com/cedric-zesiger/profil/spieler/382478,23,2,-,"1,837'"
28,Robert Schneider,"Apr 28, 1997",252,9,26,19735,Germany,FC Augsburg,"1,88 m","€6.00m Jun 5, 2025",Keven Schlotterbeck,3,0,Centre-Back,https://www.transfermarkt.com/keven-schlotterbeck/profil/spieler/413843,22,1,3,"1,656'"
18,Karl M. Herzog ...,"Dec 1, 2006",67,1,3,5319,States,FC Augsburg,"1,93 m","€6.00m Jun 5, 2025",Noahkai Banks,5,0,Centre-Back,https://www.transfermarkt.com/noahkai-banks/profil/spieler/923945,20,1,-,"1,233'"
23,Classico,"May 15, 2002",116,3,3,7974,France,FC Augsburg,"1,93 m","€22.00m Jun 5, 2025",Chrislain Matsima,12,1,Centre-Back,https://www.transfermarkt.com/chrislain-matsima/profil/spieler/569383,,,,
21,Karl M. Herzog ...,"Mar 25, 2004",95,13,41,4947,Germany,Werder Bremen,"1,92 m","€4.00m Jun 5, 2025",Keke Topp,,,Centre-Forward,https://www.transfermarkt.com/keke-topp/profil/spieler/701757,,,,
33,SEG,"Jul 10, 1991",477,23,22,41775,Netherlands,FC Augsburg,"1,88 m","€1.50m Jun 5, 2025",Jeffrey Gouweleeuw,3,0,Centre-Back,https://www.transfermarkt.com/jeffrey-gouweleeuw/profil/spieler/106405,37,4,1,"3,335'"
27,Fabryka Futbolu,"Jun 4, 1998",236,9,9,17320,Poland,FC Augsburg,"1,82 m","€1.50m Jun 5, 2025",Robert Gumny,6,0,Right-Back,https://www.transfermarkt.com/robert-gumny/profil/spieler/353826,11,-,-,457'
28,,"May 14, 1997",297,13,13,20563,Croatia,FC Augsburg,"1,84 m","€6.50m Jun 5, 2025",Kristijan Jakic,11,0,Defensive Midfield,https://www.transfermarkt.com/kristijan-jakic/profil/spieler/374954,35,1,-,"2,564'"
30,ROGON,"May 27, 1995",390,49,38,25047,Germany,FC Augsburg,"1,88 m","€3.00m Jun 5, 2025",Marius Wolf,5,0,Right-Back,https://www.transfermarkt.com/marius-wolf/profil/spieler/193900,36,3,1,"2,448'"
28,Nordic Sky,"Sep 1, 1996",216,15,8,14610,Denmark,FC Augsburg,"1,78 m","€2.00m Jun 5, 2025",Mads Pedersen,0,0,Left-Back,https://www.transfermarkt.com/mads-pedersen/profil/spieler/288429,9,-,-,304'
21,MvK Sports,"Apr 7, 2004",83,2,1,6373,Türkiye,FC Augsburg,"1,82 m","€175k Jun 5, 2025",Mahmut Kücüksahin,,,Defensive Midfield,https://www.transfermarkt.com/mahmut-kucuksahin/profil/spieler/730486,22,1,-,"1,813'"
25,Match2gether,"Sep 3, 1999",146,31,13,9360,Germany,FC Augsburg,"1,80 m","€2.00m Jun 5, 2025",Henri Koudossou,,,Right-Back,https://www.transfermarkt.com/henri-koudossou/profil/spieler/515624,,,,
29,,"Oct 17, 1995",350,45,5,27501,Greece,FC Augsburg,"1,78 m","€3.00m Jun 5, 2025",Dimitrios Giannoulis,33,0,Left-Back,https://www.transfermarkt.com/dimitrios-giannoulis/profil/spieler/295630,34,5,1,"2,926'"
27,,"Nov 1, 1997",304,23,30,20511,Kosovo,FC Augsburg,"1,82 m","€3.50m Jun 5, 2025",Elvis Rexhbecaj,,,Central Midfield,https://www.transfermarkt.com/elvis-rexhbecaj/profil/spieler/280575,31,1,2,"2,056'"
26,11WINS,"Jan 8, 1999",270,41,21,17466,Germany,FC Augsburg,"1,86 m","€4.00m Jun 5, 2025",Arne Maier,18,1,Central Midfield,https://www.transfermarkt.com/arne-maier/profil/spieler/296397,,,,
27,,"Jan 1, 1998",263,13,22,16946,Nigeria,FC Augsburg,"1,83 m","€7.00m Jun 5, 2025",Frank Onyeka,32,1,Central Midfield,https://www.transfermarkt.com/frank-onyeka/profil/spieler/421637,37,2,-,"2,918'"
27,Sport Cover,"Jun 6, 1998",259,21,55,15878,France,FC Augsburg,"1,76 m","€12.00m Jun 5, 2025",Alexis Claude-Maurice,2,0,Attacking Midfield,https://www.transfermarkt.com/alexis-claude-maurice/profil/spieler/384593,32,3,10,"2,409'"
27,,"Sep 9, 1997",214,24,24,12441,Finland,FC Augsburg,"1,83 m","€3.50m Jun 5, 2025",Fredrik Jensen,36,8,Attacking Midfield,https://www.transfermarkt.com/fredrik-jensen/profil/spieler/249157,21,-,-,767'
21,,"Feb 2, 2004",111,12,35,6660,Germany,FC Augsburg,"1,86 m","€1.50m Jun 5, 2025",Yusuf Kabadayi,7,0,Left Winger,https://www.transfermarkt.com/yusuf-kabadayi/profil/spieler/604359,7,1,1,163'
27,,"Jul 9, 1997",348,55,106,23239,Germany,FC Augsburg,"1,90 m","€5.00m Jun 5, 2025",Phillip Tietz,,,Centre-Forward,https://www.transfermarkt.com/phillip-tietz/profil/spieler/288340,38,3,8,"2,065'"
19,,"Jul 17, 2005",91,17,17,5955,Germany,FC Augsburg,"1,83 m","€5.00m Jun 5, 2025",Mert Kömür,8,2,Attacking Midfield,https://www.transfermarkt.com/mert-komur/profil/spieler/777005,28,1,3,"1,119'"
30,,"Sep 29, 1994",321,24,79,20520,Benin,FC Augsburg,"1,89 m","€2.00m Jun 5, 2025",Steve Mounié,59,20,Centre-Forward,https://www.transfermarkt.com/steve-mounie/profil/spieler/238639,,,,
27,,"Jan 23, 1998",252,11,65,14127,Congo,FC Augsburg,"1,93 m","€4.50m Jun 5, 2025",Samuel Essende,6,0,Centre-Forward,https://www.transfermarkt.com/samuel-essende/profil/spieler/395522,34,3,10,"1,841'"
33,feel soccer GmbH,"Jun 2, 1992",403,9,,36125,Germany,Union Berlin,"1,90 m","€500k Jun 5, 2025",Alexander Schwolow,7,0,Goalkeeper,https://www.transfermarkt.com/alexander-schwolow/profil/spieler/93763,6,,,540'
27,CAA Stellar,"May 11, 1998",286,46,106,18140,Germany,FC Augsburg,"1,88 m","€3.50m Jun 5, 2025",Mergim Berisha,2,0,Centre-Forward,https://www.transfermarkt.com/mergim-berisha/profil/spieler/307924,,,,
32,BTAM,"Aug 4, 1992",374,21,,33507,Denmark,Union Berlin,"1,88 m","€3.00m Jun 5, 2025",Frederik Rönnow,10,0,Goalkeeper,https://www.transfermarkt.com/frederik-ronnow/profil/spieler/107775,30,,,"2,700'"
31,,"Jan 16, 1994",138,2,,12276,Germany,Union Berlin,"1,89 m","€350k Jun 5, 2025",Carl Klaus,,,Goalkeeper,https://www.transfermarkt.com/carl-klaus/profil/spieler/161057,,,,
26,,"Jan 23, 1999",255,6,8,20500,Portugal,Union Berlin,"1,90 m","€17.00m Jun 5, 2025",Diogo Leite,0,0,Centre-Back,https://www.transfermarkt.com/diogo-leite/profil/spieler/357156,31,2,1,"2,638'"
26,Wasserman,"Jun 30, 1998",312,5,16,26700,Suriname,Union Berlin,"1,90 m","€13.00m Jun 5, 2025",Danilho Doekhi,5,0,Centre-Back,https://www.transfermarkt.com/danilho-doekhi/profil/spieler/387047,36,-,1,"3,240'"
33,ROOF,"Sep 23, 1991",516,17,18,40755,Germany,Union Berlin,"1,94 m","€1.00m Jun 5, 2025",Kevin Vogt,,,Centre-Back,https://www.transfermarkt.com/kevin-vogt/profil/spieler/84435,20,-,1,"1,537'"
21,ROOF,"Dec 20, 2003",154,3,10,12205,Austria,Union Berlin,"1,90 m","€13.00m Jun 5, 2025",Leopold Querfeld,5,0,Centre-Back,https://www.transfermarkt.com/leopold-querfeld/profil/spieler/597432,28,2,2,"1,832'"
29,,"Aug 16, 1995",321,32,15,25711,Croatia,Union Berlin,"1,73 m","€4.00m Jun 5, 2025",Josip Juranovic,40,0,Right-Back,https://www.transfermarkt.com/josip-juranovic/profil/spieler/362977,17,-,-,"1,160'"
20,Wasserman,"Oct 29, 2004",125,35,12,9362,Germany,Union Berlin,"1,93 m","€10.00m Jun 5, 2025",Tom Rothe,10,2,Left-Back,https://www.transfermarkt.com/tom-rothe/profil/spieler/798043,27,4,3,"1,706'"
38,ROOF,"Feb 24, 1987",604,94,47,45818,Austria,Union Berlin,"1,89 m","€600k Jun 5, 2025",Christopher Trimmel,25,1,Right-Back,https://www.transfermarkt.com/christopher-trimmel/profil/spieler/75921,27,3,-,"1,768'"
31,,"Jan 27, 1994",462,17,25,35809,Germany,Union Berlin,"1,89 m","€2.50m Jun 5, 2025",Rani Khedira,0,0,Defensive Midfield,https://www.transfermarkt.com/rani-khedira/profil/spieler/124410,,,,
20,,"Aug 2, 2004",89,9,10,6287,Germany,Union Berlin,"1,87 m","€7.00m Jun 5, 2025",Aljoscha Kemlein,2,0,Defensive Midfield,https://www.transfermarkt.com/aljoscha-kemlein/profil/spieler/692737,17,-,1,970'
28,,"Apr 29, 1997",347,14,16,25648,France,Union Berlin,"1,84 m","€2.50m Jun 5, 2025",Lucas Tousart,1,0,Defensive Midfield,https://www.transfermarkt.com/lucas-tousart/profil/spieler/353948,16,1,-,571'
