age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
26,,"Jan 5, 1999",315,33,41,19966,Sweden,VfL Wolfsburg,"1,85 m","€12.00m Jun 5, 2025",Mattias Svanberg,34,2,Central Midfield,https://www.transfermarkt.com/mattias-svanberg/profil/spieler/342405,23,1,3,"1,426'"
25,BTAM,"Jun 24, 1999",230,17,5,14905,Denmark,VfL Wolfsburg,"1,84 m","€6.00m Jun 5, 2025",Mads Roerslev,1,0,Right-Back,https://www.transfermarkt.com/mads-roerslev/profil/spieler/391005,31,2,-,"1,759'"
24,Robert Schneider,"Oct 12, 2000",145,10,1,10093,Germany,VfL Wolfsburg,"1,82 m","€6.00m Jun 5, 2025",Kilian Fischer,7,0,Right-Back,https://www.transfermarkt.com/kilian-fischer/profil/spieler/435796,36,-,1,"2,648'"
27,,"Jan 13, 1998",206,13,4,15575,Brazil,VfL Wolfsburg,"1,78 m","€2.50m Jun 5, 2025",Rogério,1,0,Left-Back,https://www.transfermarkt.com/rogerio/profil/spieler/401527,,,,
31,Karl M. Herzog ...,"May 27, 1994",553,77,84,44416,Germany,VfL Wolfsburg,"1,84 m","€5.00m Jun 5, 2025",Maximilian Arnold,3,0,Central Midfield,https://www.transfermarkt.com/maximilian-arnold/profil/spieler/117674,,,,
22,Shot Sports,"May 7, 2003",102,9,7,4842,States,VfL Wolfsburg,"1,75 m","€7.50m Jun 5, 2025",Kevin Paredes,3,0,Left Midfield,https://www.transfermarkt.com/kevin-paredes/profil/spieler/711517,2,1,-,125'
18,CAA Stellar,"Jul 1, 2006",73,29,16,5839,Germany,Wolfsburg U19,"1,81 m","€500k Jun 5, 2025",Bennit Bröger,3,0,Attacking Midfield,https://www.transfermarkt.com/bennit-broger/profil/spieler/897479,16,5,5,"1,352'"
19,PRO Profil GmbH,"Jan 24, 2006",87,28,12,5902,Hungary,VfL Wolfsburg,"1,89 m","€12.00m Jun 5, 2025",Bence Dárdai,3,0,Attacking Midfield,https://www.transfermarkt.com/bence-dardai/profil/spieler/789252,25,3,1,"1,540'"
31,,"Mar 13, 1994",430,49,47,29577,Germany,VfL Wolfsburg,"1,84 m","€2.50m Jun 5, 2025",Yannick Gerhardt,1,0,Central Midfield,https://www.transfermarkt.com/yannick-gerhardt/profil/spieler/119277,33,1,2,"1,679'"
23,BMG-SPORT,"Jun 5, 2002",215,30,32,13791,Poland,VfL Wolfsburg,"1,79 m","€5.00m Jun 5, 2025",Jakub Kaminski,22,1,Left Winger,https://www.transfermarkt.com/jakub-kaminski/profil/spieler/407098,26,5,-,"1,260'"
24,More than Sport GmbH,"May 30, 2001",197,32,27,11524,Austria,VfL Wolfsburg,"1,82 m","€15.00m Jun 5, 2025",Patrick Wimmer,,,Right Winger,https://www.transfermarkt.com/patrick-wimmer/profil/spieler/533295,33,4,4,"2,081'"
27,Niagara Sports ...,"Jan 17, 1998",287,63,53,18625,Croatia,VfL Wolfsburg,"1,78 m","€17.00m Jun 5, 2025",Lovro Majer,35,8,Attacking Midfield,https://www.transfermarkt.com/lovro-majer/profil/spieler/387106,11,1,2,483'
25,,"Dec 29, 1999",291,46,104,18116,Denmark,VfL Wolfsburg,"1,87 m","€14.00m Jun 5, 2025",Andreas Skov Olsen,39,8,Right Winger,https://www.transfermarkt.com/andreas-skov-olsen/profil/spieler/432982,40,7,9,"2,276'"
25,,"May 9, 2000",190,32,67,10739,Algeria,VfL Wolfsburg,"1,70 m","€32.00m Jun 5, 2025",Mohamed Amoura,32,13,Centre-Forward,https://www.transfermarkt.com/mohamed-amoura/profil/spieler/746910,34,12,10,"2,730'"
34,,"Feb 3, 1991",473,78,145,30877,Germany,VfL Wolfsburg,"1,85 m","€1.00m Jun 5, 2025",Kevin Behrens,1,0,Centre-Forward,https://www.transfermarkt.com/kevin-behrens/profil/spieler/117432,19,1,1,157'
23,Proeleven S.A.,"Jun 16, 2002",184,14,29,9182,Portugal,VfL Wolfsburg,"1,80 m","€12.00m Jun 5, 2025",Tiago Tomás,23,2,Centre-Forward,https://www.transfermarkt.com/tiago-tomas/profil/spieler/616344,36,2,6,"2,133'"
26,Sports360 GmbH,"Dec 14, 1998",251,20,93,14943,Germany,VfL Wolfsburg,"1,85 m","€3.00m Jun 5, 2025",Lukas Nmecha,7,0,Centre-Forward,https://www.transfermarkt.com/lukas-nmecha/profil/spieler/314288,20,-,3,471'
26,ROOF,"Feb 7, 1999",272,40,108,19419,Denmark,VfL Wolfsburg,"1,90 m","€12.00m Jun 5, 2025",Jonas Wind,35,8,Centre-Forward,https://www.transfermarkt.com/jonas-wind/profil/spieler/391004,35,4,11,"2,107'"
31,Sports360 GmbH,"Apr 15, 1994",224,6,,20099,Germany,SC Freiburg,"1,85 m","€400k Jun 5, 2025",Jannik Huth,2,0,Goalkeeper,https://www.transfermarkt.com/jannik-huth/profil/spieler/160954,-,,,0'
27,PRO Profil GmbH,"Nov 13, 1997",229,1,,20462,Germany,SC Freiburg,"1,90 m","€1.20m Jun 5, 2025",Florian Müller,2,0,Goalkeeper,https://www.transfermarkt.com/florian-muller/profil/spieler/284769,12,,,977'
23,BMG-SPORT,"Nov 11, 2001",136,8,30,6710,Poland,VfL Wolfsburg,"1,91 m","€800k Jun 5, 2025",Bartosz Bialek,10,4,Centre-Forward,https://www.transfermarkt.com/bartosz-bialek/profil/spieler/535551,,,,
22,Unique Sports Group,"Feb 10, 2003",89,4,5,6126,Germany,SC Freiburg,"1,86 m","€8.00m Jun 5, 2025",Max Rosenfelder,9,1,Centre-Back,https://www.transfermarkt.com/max-rosenfelder/profil/spieler/599419,28,-,1,"1,437'"
23,Unique Sports Group,"May 25, 2002",215,6,1,19250,Germany,SC Freiburg,"1,90 m","€18.00m Jun 5, 2025",Noah Atubolu,19,0,Goalkeeper,https://www.transfermarkt.com/noah-atubolu/profil/spieler/526845,,,,
32,Unique Sports Group,"Feb 28, 1993",524,57,19,43658,Germany,SC Freiburg,"1,84 m","€3.50m Jun 5, 2025",Christian Günter,8,0,Left-Back,https://www.transfermarkt.com/christian-gunter/profil/spieler/93707,32,4,2,"2,579'"
34,Unique Sports Group,"Feb 12, 1991",342,1,17,26947,Germany,SC Freiburg,"1,84 m","€400k Jun 5, 2025",Manuel Gulde,1,0,Centre-Back,https://www.transfermarkt.com/manuel-gulde/profil/spieler/45683,1,-,-,90'
31,Unique Sports Group,"Jan 19, 1994",541,26,55,45620,Germany,SC Freiburg,"1,89 m","€7.00m Jun 5, 2025",Matthias Ginter,51,2,Centre-Back,https://www.transfermarkt.com/matthias-ginter/profil/spieler/124502,34,1,3,"2,740'"
19,Sports360 GmbH,"Dec 17, 2005",39,1,1,2785,Switzerland,SC Freiburg,"1,85 m","€1.00m Jun 5, 2025",Bruno Ogbus,5,0,Centre-Back,https://www.transfermarkt.com/bruno-ogbus/profil/spieler/863759,7,1,-,447'
23,BS Group ...,"Aug 3, 2001",100,4,,6206,France,SC Freiburg,"1,91 m","€6.00m Jun 5, 2025",Jordy Makengo,,,Left-Back,https://www.transfermarkt.com/jordy-makengo/profil/spieler/815078,20,-,-,826'
23,,"May 16, 2002",172,4,12,11980,France,SC Freiburg,"1,86 m","€10.00m Jun 5, 2025",Kiliann Sildillia,15,0,Right-Back,https://www.transfermarkt.com/kiliann-sildillia/profil/spieler/548348,22,-,2,866'
32,ROOF,"Aug 30, 1992",354,13,16,26131,Germany,SC Freiburg,"1,82 m","€1.50m Jun 5, 2025",Lukas Kübler,,,Right-Back,https://www.transfermarkt.com/lukas-kubler/profil/spieler/93604,30,1,5,"1,947'"
28,ROOF,"Dec 8, 1996",475,45,56,38671,Germany,SC Freiburg,"1,81 m","€10.00m Jun 5, 2025",Maximilian Eggestein,0,0,Central Midfield,https://www.transfermarkt.com/maximilian-eggestein/profil/spieler/190284,,,,
25,,"Feb 1, 2000",169,16,9,11374,Germany,SC Freiburg,"1,86 m","€10.00m Jun 5, 2025",Patrick Osterhage,4,0,Central Midfield,https://www.transfermarkt.com/patrick-osterhage/profil/spieler/443331,33,1,1,"2,521'"
19,Gold Kick SA,"Oct 14, 2005",66,6,18,3521,Switzerland,SC Freiburg,"1,82 m","€8.00m Jun 5, 2025",Johan Manzambi,2,1,Central Midfield,https://www.transfermarkt.com/johan-manzambi/profil/spieler/927353,21,6,3,"1,195'"
